Country,Position,Date,Song title,Song author,Country,Genre
Canada,1,2023-08-19,Last Night,Morgan Wallen,US,Country
Canada,2,2023-08-19,Fast Car,Luke Combs,US,Country
Canada,3,2023-08-19,Cruel Summer,Taylor Swift,US,Pop
Canada,4,2023-08-19,Dance The Night,Dua Lipa,England,Pop
Canada,5,2023-08-19,Calm Down,Rema,GB,
Canada,6,2023-08-19,Fukumean,Gunna,US,Hip-Hop/Rap
Canada,7,2023-08-19,Meltdown,Travis Scott & Drake,US,
Canada,8,2023-08-19,Vampire,Olivia Rodrigo,US,Pop
Canada,9,2023-08-19,Flowers,Miley Cyrus,US,Pop
Canada,10,2023-08-19,What Was I Made For?,Billie Eilish,US,Alternative
Canada,11,2023-08-19,Barbie World,"Nicki Minaj, Ice Spice & Aqua",US,
Canada,12,2023-08-19,Karma,Taylor Swift,US,Pop
Canada,13,2023-08-19,Chemical,Post Malone,US,Pop
Canada,14,2023-08-19,Sprinter,Dave & Central Cee,England,Hip-Hop/Rap
Canada,15,2023-08-19,Confetti,Charlotte Cardin,Québec,Pop
Canada,16,2023-08-19,I Know?,Travis Scott,US,Hip-Hop/Rap
Canada,17,2023-08-19,I'm Good (Blue),David Guetta & Bebe Rexha,US,Dance
Canada,18,2023-08-19,Telekinesis,"Travis Scott, SZA & Future",US,
Canada,19,2023-08-19,FE!N,Travis Scott & Playboi Carti,US,
Canada,20,2023-08-19,Anti-Hero,Taylor Swift,US,Pop
Canada,1,2023-07-22,Last Night,Morgan Wallen,US,Country
Canada,2,2023-07-22,Calm Down,Rema,GB,
Canada,3,2023-07-22,Fast Car,Luke Combs,US,Country
Canada,4,2023-07-22,Fukumean,Gunna,US,Hip-Hop/Rap
Canada,5,2023-07-22,Vampire,Olivia Rodrigo,US,Pop
Canada,6,2023-07-22,Flowers,Miley Cyrus,US,Pop
Canada,7,2023-07-22,Cruel Summer,Taylor Swift,US,Pop
Canada,8,2023-07-22,I Can See You (Taylor's Version),Taylor Swift,US,Pop
Canada,9,2023-07-22,Karma,Taylor Swift,US,Pop
Canada,10,2023-07-22,Chemical,Post Malone,US,Pop
Canada,11,2023-07-22,Eyes Closed,Ed Sheeran,GB,Pop
Canada,12,2023-07-22,Sprinter,Dave & Central Cee,England,Hip-Hop/Rap
Canada,13,2023-07-22,Dance The Night,Dua Lipa,England,Pop
Canada,14,2023-07-22,I'm Good (Blue),David Guetta & Bebe Rexha,US,Dance
Canada,15,2023-07-22,Mine,Taylor Swift,US,Pop
Canada,16,2023-07-22,Confetti,Charlotte Cardin,Québec,Pop
Canada,17,2023-07-22,Back To December,Taylor Swift,US,Pop
Canada,18,2023-07-22,Enchanted (Taylor's Version),Taylor Swift,US,Country
Canada,19,2023-07-22,Anti-Hero,Taylor Swift,US,Pop
Canada,20,2023-07-22,Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray",US,Dance
Canada,1,2023-06-24,Calm Down,Rema,GB,
Canada,2,2023-06-24,Last Night,Morgan Wallen,US,Country
Canada,3,2023-06-24,Flowers,Miley Cyrus,US,Pop
Canada,4,2023-06-24,Fast Car,Luke Combs,US,Country
Canada,5,2023-06-24,Sprinter,Dave & Central Cee,England,Hip-Hop/Rap
Canada,6,2023-06-24,Eyes Closed,Ed Sheeran,GB,Pop
Canada,7,2023-06-24,Karma,Taylor Swift,US,Pop
Canada,8,2023-06-24,Chemical,Post Malone,US,Pop
Canada,9,2023-06-24,Anti-Hero,Taylor Swift,US,Pop
Canada,10,2023-06-24,I'm Good (Blue),David Guetta & Bebe Rexha,US,Dance
Canada,11,2023-06-24,Kill Bill,SZA,US,R&B/Soul
Canada,12,2023-06-24,Cupid,Fifty Fifty,GB,
Canada,13,2023-06-24,All My Life,Lil Durk & J. Cole,US,
Canada,14,2023-06-24,Creepin',"Metro Boomin, Weeknd & 21 Savage",US,
Canada,15,2023-06-24,Dance The Night,Dua Lipa,England,Pop
Canada,16,2023-06-24,As It Was,Harry Styles,England,Pop
Canada,17,2023-06-24,As It Was,Harry Styles,England,Pop
Canada,18,2023-06-24,Die For You,Weeknd,CA,
Canada,19,2023-06-24,Wish You The Best,Lewis Capaldi,GB,Alternative
Canada,20,2023-06-24,Dial Drunk,Noah Kahan,US,Alternative
Canada,1,2023-05-27,Calm Down,Rema,GB,
Canada,2,2023-05-27,Last Night,Morgan Wallen,US,Country
Canada,3,2023-05-27,Flowers,Miley Cyrus,US,Pop
Canada,4,2023-05-27,Eyes Closed,Ed Sheeran,GB,Pop
Canada,5,2023-05-27,Fast Car,Luke Combs,US,Country
Canada,6,2023-05-27,Creepin',"Metro Boomin, Weeknd & 21 Savage",US,
Canada,7,2023-05-27,Cupid,Fifty Fifty,GB,
Canada,8,2023-05-27,I'm Good (Blue),David Guetta & Bebe Rexha,US,Dance
Canada,9,2023-05-27,Kill Bill,SZA,US,R&B/Soul
Canada,10,2023-05-27,Anti-Hero,Taylor Swift,US,Pop
Canada,11,2023-05-27,All My Life,Lil Durk & J. Cole,US,
Canada,12,2023-05-27,Chemical,Post Malone,US,Pop
Canada,13,2023-05-27,Die For You,Weeknd,CA,
Canada,14,2023-05-27,Daylight,David Kushner,US,Pop
Canada,15,2023-05-27,Escapism,Raye & 070 Shake,US,
Canada,16,2023-05-27,Players,Coi Leray,US,Hip-Hop/Rap
Canada,17,2023-05-27,As It Was,Harry Styles,England,Pop
Canada,18,2023-05-27,Boy's A Liar,PinkPantheress,England,Pop
Canada,19,2023-05-27,Search & Rescue,Drake,CA,Hip-Hop/Rap
Canada,20,2023-05-27,Sure Thing,Miguel,US,R&B/Soul
Canada,1,2023-04-29,Flowers,Miley Cyrus,US,Pop
Canada,2,2023-04-29,Calm Down,Rema,GB,
Canada,3,2023-04-29,Last Night,Morgan Wallen,US,Country
Canada,4,2023-04-29,Kill Bill,SZA,US,R&B/Soul
Canada,5,2023-04-29,I'm Good (Blue),David Guetta & Bebe Rexha,US,Dance
Canada,6,2023-04-29,Daylight,David Kushner,US,Pop
Canada,7,2023-04-29,Creepin',"Metro Boomin, Weeknd & 21 Savage",US,
Canada,8,2023-04-29,Search & Rescue,Drake,CA,Hip-Hop/Rap
Canada,9,2023-04-29,Die For You,Weeknd,CA,
Canada,10,2023-04-29,Anti-Hero,Taylor Swift,US,Pop
Canada,11,2023-04-29,Boy's A Liar,PinkPantheress,England,Pop
Canada,12,2023-04-29,Fast Car,Luke Combs,US,Country
Canada,13,2023-04-29,Chemical,Post Malone,US,Pop
Canada,14,2023-04-29,Eyes Closed,Ed Sheeran,GB,Pop
Canada,15,2023-04-29,Players,Coi Leray,US,Hip-Hop/Rap
Canada,16,2023-04-29,Lavender Haze,Taylor Swift,US,Pop
Canada,17,2023-04-29,Escapism,Raye & 070 Shake,US,
Canada,18,2023-04-29,Unholy,Sam Smith & Kim Petras,US,Dance
Canada,19,2023-04-29,As It Was,Harry Styles,England,Pop
Canada,20,2023-04-29,Cupid,Fifty Fifty,GB,
Canada,1,2023-04-01,Flowers,Miley Cyrus,US,Pop
Canada,2,2023-04-01,Calm Down,Rema,GB,
Canada,3,2023-04-01,Last Night,Morgan Wallen,US,Country
Canada,4,2023-04-01,Creepin',"Metro Boomin, Weeknd & 21 Savage",US,
Canada,5,2023-04-01,I'm Good (Blue),David Guetta & Bebe Rexha,US,Dance
Canada,6,2023-04-01,Kill Bill,SZA,US,R&B/Soul
Canada,7,2023-04-01,Boy's A Liar,PinkPantheress,England,Pop
Canada,8,2023-04-01,Die For You,Weeknd,CA,
Canada,9,2023-04-01,Anti-Hero,Taylor Swift,US,Pop
Canada,10,2023-04-01,Players,Coi Leray,US,Hip-Hop/Rap
Canada,11,2023-04-01,Unholy,Sam Smith & Kim Petras,US,Dance
Canada,12,2023-04-01,All Of The Girls You Loved Before,Taylor Swift,US,Pop
Canada,13,2023-04-01,Escapism,Raye & 070 Shake,US,
Canada,14,2023-04-01,As It Was,Harry Styles,England,Pop
Canada,15,2023-04-01,Lavender Haze,Taylor Swift,US,Pop
Canada,16,2023-04-01,Until I Found You,Stephen Sanchez,,Singer/Songwriter
Canada,17,2023-04-01,Made You Look,Meghan Trainor,US,Pop
Canada,18,2023-04-01,Rock And A Hard Place,Bailey Zimmerman,US,Country
Canada,19,2023-04-01,Flowers Need Rain,"Preston Pablo, Banx & Ranx",CA,
Canada,20,2023-04-01,Something In The Orange,Zach Bryan,Seattle,Country
Canada,1,2023-03-04,Flowers,Miley Cyrus,US,Pop
Canada,2,2023-03-04,Boy's A Liar,PinkPantheress,England,Pop
Canada,3,2023-03-04,Calm Down,Rema,GB,
Canada,4,2023-03-04,I'm Good (Blue),David Guetta & Bebe Rexha,US,Dance
Canada,5,2023-03-04,Kill Bill,SZA,US,R&B/Soul
Canada,6,2023-03-04,Creepin',"Metro Boomin, Weeknd & 21 Savage",US,
Canada,7,2023-03-04,Last Night,Morgan Wallen,US,Country
Canada,8,2023-03-04,Unholy,Sam Smith & Kim Petras,US,Dance
Canada,9,2023-03-04,Anti-Hero,Taylor Swift,US,Pop
Canada,10,2023-03-04,Made You Look,Meghan Trainor,US,Pop
Canada,11,2023-03-04,As It Was,Harry Styles,England,Pop
Canada,12,2023-03-04,Escapism,Raye & 070 Shake,US,
Canada,13,2023-03-04,Forget Me,Lewis Capaldi,GB,Alternative
Canada,14,2023-03-04,Players,Coi Leray,US,Hip-Hop/Rap
Canada,15,2023-03-04,Until I Found You,Stephen Sanchez,,Singer/Songwriter
Canada,16,2023-03-04,Sure Thing,Miguel,US,R&B/Soul
Canada,17,2023-03-04,Flowers Need Rain,"Preston Pablo, Banx & Ranx",CA,
Canada,18,2023-03-04,Lavender Haze,Taylor Swift,US,Pop
Canada,19,2023-03-04,Die For You,Weeknd,CA,
Canada,20,2023-03-04,Something In The Orange,Zach Bryan,Seattle,Country
Canada,1,2023-02-04,Flowers,Miley Cyrus,US,Pop
Canada,2,2023-02-04,I'm Good (Blue),David Guetta & Bebe Rexha,US,Dance
Canada,3,2023-02-04,Kill Bill,SZA,US,R&B/Soul
Canada,4,2023-02-04,Anti-Hero,Taylor Swift,US,Pop
Canada,5,2023-02-04,Unholy,Sam Smith & Kim Petras,US,Dance
Canada,6,2023-02-04,Creepin',"Metro Boomin, Weeknd & 21 Savage",US,
Canada,7,2023-02-04,Calm Down,Rema,GB,
Canada,8,2023-02-04,Made You Look,Meghan Trainor,US,Pop
Canada,9,2023-02-04,Escapism,Raye & 070 Shake,US,
Canada,10,2023-02-04,As It Was,Harry Styles,England,Pop
Canada,11,2023-02-04,Forget Me,Lewis Capaldi,GB,Alternative
Canada,12,2023-02-04,I Ain't Worried,OneRepublic,US,Pop
Canada,13,2023-02-04,Hold Me Closer,Elton John & Britney Spears,US,Dance
Canada,14,2023-02-04,Something In The Orange,Zach Bryan,Seattle,Country
Canada,15,2023-02-04,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",US,Hip-Hop/Rap
Canada,16,2023-02-04,Flowers Need Rain,"Preston Pablo, Banx & Ranx",CA,
Canada,17,2023-02-04,Rich Flex,Drake & 21 Savage,US,Hip-Hop/Rap
Canada,18,2023-02-04,10:35,DJ Tiesto & Tate McRae,NL,
Canada,19,2023-02-04,Until I Found You,Stephen Sanchez,,Singer/Songwriter
Canada,20,2023-02-04,Sure Thing,Miguel,US,R&B/Soul
Canada,1,2023-01-07,Rockin' Around The Christmas Tree,Brenda Lee,Nashville,Christmas
Canada,2,2023-01-07,All I Want For Christmas Is You,Mariah Carey,US,Christmas: Pop
Canada,3,2023-01-07,Last Christmas,Wham!,GB,Pop
Canada,4,2023-01-07,Jingle Bell Rock,Bobby Helms,US,Holiday
Canada,5,2023-01-07,It's Beginning To Look A Lot Like Christmas,Michael Buble,CA,
Canada,6,2023-01-07,A Holly Jolly Christmas,Burl Ives,US,Holiday
Canada,7,2023-01-07,It's The Most Wonderful Time Of The Year,Andy Williams,US,Christmas: Classic
Canada,8,2023-01-07,I'm Good (Blue),David Guetta & Bebe Rexha,US,Dance
Canada,9,2023-01-07,Feliz Navidad,Jose Feliciano,US,
Canada,10,2023-01-07,Unholy,Sam Smith & Kim Petras,US,Dance
Canada,11,2023-01-07,Anti-Hero,Taylor Swift,US,Pop
Canada,12,2023-01-07,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,US,Christmas: Classic
Canada,13,2023-01-07,The Christmas Song (Merry Christmas To You),Nat King Cole,US,
Canada,14,2023-01-07,Kill Bill,SZA,US,R&B/Soul
Canada,15,2023-01-07,Underneath The Tree,Kelly Clarkson,US,Holiday
Canada,16,2023-01-07,Sleigh Ride,Ronettes,US,
Canada,17,2023-01-07,Mistletoe,Justin Bieber,CA,Holiday
Canada,18,2023-01-07,Santa Tell Me,Ariana Grande,US,Holiday
Canada,19,2023-01-07,White Christmas,Bing Crosby,US,Musicals
Canada,20,2023-01-07,Wonderful Christmastime,Paul McCartney,GB,Rock
Canada,1,2022-12-10,Anti-Hero,Taylor Swift,US,Pop
Canada,2,2022-12-10,Unholy,Sam Smith & Kim Petras,US,Dance
Canada,3,2022-12-10,I'm Good (Blue),David Guetta & Bebe Rexha,US,Dance
Canada,4,2022-12-10,Rich Flex,Drake & 21 Savage,US,Hip-Hop/Rap
Canada,5,2022-12-10,All I Want For Christmas Is You,Mariah Carey,US,Christmas: Pop
Canada,6,2022-12-10,Rockin' Around The Christmas Tree,Brenda Lee,Nashville,Christmas
Canada,7,2022-12-10,Last Christmas,Wham!,GB,Pop
Canada,8,2022-12-10,I Ain't Worried,OneRepublic,US,Pop
Canada,9,2022-12-10,Jingle Bell Rock,Bobby Helms,US,Holiday
Canada,10,2022-12-10,As It Was,Harry Styles,England,Pop
Canada,11,2022-12-10,Made You Look,Meghan Trainor,US,Pop
Canada,12,2022-12-10,Flowers Need Rain,"Preston Pablo, Banx & Ranx",CA,
Canada,13,2022-12-10,I Like You (A Happier Song),Post Malone & Doja Cat,US,
Canada,14,2022-12-10,Hold Me Closer,Elton John & Britney Spears,US,Dance
Canada,15,2022-12-10,It's Beginning To Look A Lot Like Christmas,Michael Buble,CA,
Canada,16,2022-12-10,Calm Down,Rema,GB,
Canada,17,2022-12-10,Late Night Talking,Harry Styles,England,Pop
Canada,18,2022-12-10,Lift Me Up,Rihanna,US,Pop
Canada,19,2022-12-10,It's The Most Wonderful Time Of The Year,Andy Williams,US,Christmas: Classic
Canada,20,2022-12-10,Numb,Marshmello & Khalid,US,R&B/Soul
Canada,1,2022-11-12,Anti-Hero,Taylor Swift,US,Pop
Canada,2,2022-11-12,Unholy,Sam Smith & Kim Petras,US,Dance
Canada,3,2022-11-12,Lift Me Up,Rihanna,US,Pop
Canada,4,2022-11-12,I'm Good (Blue),David Guetta & Bebe Rexha,US,Dance
Canada,5,2022-11-12,Lavender Haze,Taylor Swift,US,Pop
Canada,6,2022-11-12,I Ain't Worried,OneRepublic,US,Pop
Canada,7,2022-11-12,Midnight Rain,Taylor Swift,US,Pop
Canada,8,2022-11-12,Maroon,Taylor Swift,US,Pop
Canada,9,2022-11-12,Bejeweled,Taylor Swift,US,Pop
Canada,10,2022-11-12,Snow On The Beach,Taylor Swift & Lana Del Rey,US,
Canada,11,2022-11-12,"You're On Your Own, Kid",Taylor Swift,US,Pop
Canada,12,2022-11-12,Karma,Taylor Swift,US,Pop
Canada,13,2022-11-12,As It Was,Harry Styles,England,Pop
Canada,14,2022-11-12,Numb,Marshmello & Khalid,US,R&B/Soul
Canada,15,2022-11-12,I Like You (A Happier Song),Post Malone & Doja Cat,US,
Canada,16,2022-11-12,Vigilante Shit,Taylor Swift,US,Pop
Canada,17,2022-11-12,Hold Me Closer,Elton John & Britney Spears,US,Dance
Canada,18,2022-11-12,Flowers Need Rain,"Preston Pablo, Banx & Ranx",CA,
Canada,19,2022-11-12,Question...?,Taylor Swift,US,Pop
Canada,20,2022-11-12,Shirt,SZA,US,R&B/Soul
Canada,1,2022-10-15,Unholy,Sam Smith & Kim Petras,US,Dance
Canada,2,2022-10-15,I'm Good (Blue),David Guetta & Bebe Rexha,US,Dance
Canada,3,2022-10-15,Sunroof,Nicky Youre & Dazy,US,Pop
Canada,4,2022-10-15,I Ain't Worried,OneRepublic,US,Pop
Canada,5,2022-10-15,As It Was,Harry Styles,England,Pop
Canada,6,2022-10-15,Numb,Marshmello & Khalid,US,R&B/Soul
Canada,7,2022-10-15,I Like You (A Happier Song),Post Malone & Doja Cat,US,
Canada,8,2022-10-15,Late Night Talking,Harry Styles,England,Pop
Canada,9,2022-10-15,Flowers Need Rain,"Preston Pablo, Banx & Ranx",CA,
Canada,10,2022-10-15,About Damn Time,Lizzo,US,Pop
Canada,11,2022-10-15,Hold Me Closer,Elton John & Britney Spears,US,Dance
Canada,12,2022-10-15,Bad Habit,Steve Lacy,US,R&B/Soul
Canada,13,2022-10-15,Super Freaky Girl,Nicki Minaj,US,Hip-Hop/Rap
Canada,14,2022-10-15,HeatWaves,Glass Animals,GB,Alternative
Canada,15,2022-10-15,Vegas,Doja Cat,US,Pop
Canada,16,2022-10-15,Under The Influence,Chris Brown,US,R&B/Soul
Canada,17,2022-10-15,The Kind Of Love We Make,Luke Combs,US,Country
Canada,18,2022-10-15,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,US,Pop
Canada,19,2022-10-15,Calm Down,Rema,GB,
Canada,20,2022-10-15,Something In The Orange,Zach Bryan,Seattle,Country
Chile,1,2023-08-12,Cabana,El Jordan 23,,
Chile,2,2023-08-12,Tu Falta De Querer,Mon Laferte,MX,Rock y Alternativo
Chile,3,2023-08-12,Mi Buen Amor,Mon Laferte & Enrique Bunbury,ES,
Chile,4,2023-08-12,Marisola,Cris MJ,,
Chile,5,2023-08-12,La Inocente,Feir & Mora,,
Chile,6,2023-08-12,Xq Tan Sola?,Nickoog Clk,,
Chile,7,2023-08-12,El Amor De Tu Vida,Gino Mella & Jairo Vera,,
Chile,8,2023-08-12,Si Supieras,Bayron Fire,,
Chile,9,2023-08-12,Roll Royce,Standly,,
Chile,10,2023-08-12,Ultra Solo Remix,"Feid, De La Ghetto, Paloma Mami, Polima Westcoast & Pailita",CL,
Chile,11,2023-08-12,34 Amor Y Mafia Remix,El Jincho & Harry Nach,,
Chile,12,2023-08-12,Pegate,Standly,,Latino
Chile,13,2023-08-12,Bailando,El Jordan 23,,
Chile,14,2023-08-12,Me Acorde De Ti,Pailita,Santiago,Música tropical
Chile,15,2023-08-12,Mi Bruja,Jere Klein & Drako Mafia,ES,
Chile,16,2023-08-12,Sheraton,El Jordan 23,,Urbano latino
Chile,17,2023-08-12,Tuyo,Mora,,Urbano latino
Chile,18,2023-08-12,512,Jhay Cortez & Mora,PR,
Chile,19,2023-08-12,Amarrame,Mon Laferte & Juanes,MX,
Chile,20,2023-08-12,Madrid,Juanka El Problematik & Jairo Vera,PR,
Chile,1,2023-07-15,Tu Falta De Querer,Mon Laferte,MX,Rock y Alternativo
Chile,2,2023-07-15,Marisola,Cris MJ,,
Chile,3,2023-07-15,Mi Buen Amor,Mon Laferte & Enrique Bunbury,ES,
Chile,4,2023-07-15,Ultra Solo Remix,"Feid, De La Ghetto, Paloma Mami, Polima Westcoast & Pailita",CL,
Chile,5,2023-07-15,La Inocente,Feir & Mora,,
Chile,6,2023-07-15,Xq Tan Sola?,Nickoog Clk,,
Chile,7,2023-07-15,34 Amor Y Mafia Remix,El Jincho & Harry Nach,,
Chile,8,2023-07-15,Cabana,El Jordan 23,,
Chile,9,2023-07-15,El Amor De Tu Vida,Gino Mella & Jairo Vera,,
Chile,10,2023-07-15,Mi Bruja,Jere Klein & Drako Mafia,ES,
Chile,11,2023-07-15,Me Acorde De Ti,Pailita,Santiago,Música tropical
Chile,12,2023-07-15,Madrid,Juanka El Problematik & Jairo Vera,PR,
Chile,13,2023-07-15,Si Supieras,Bayron Fire,,
Chile,14,2023-07-15,Bailando,El Jordan 23,,
Chile,15,2023-07-15,Sheraton,El Jordan 23,,Urbano latino
Chile,16,2023-07-15,Roll Royce,Standly,,
Chile,17,2023-07-15,Pegate,Standly,,Latino
Chile,18,2023-07-15,Tuyo,Mora,,Urbano latino
Chile,19,2023-07-15,2 Hielos,King Savagge,,
Chile,20,2023-07-15,Lokotron,"Pablo Chill-e & Harry Nach, Polima Westcoast, Cris MJ & Aqua VS",CL,
Chile,1,2023-06-17,Tu Falta De Querer,Mon Laferte,MX,Rock y Alternativo
Chile,2,2023-06-17,Marisola,Cris MJ,,
Chile,3,2023-06-17,La Inocente,Feir & Mora,,
Chile,4,2023-06-17,Una En Un Millon,Jere Klein,,Urbano latino
Chile,5,2023-06-17,Mi Buen Amor,Mon Laferte & Enrique Bunbury,ES,
Chile,6,2023-06-17,Xq Tan Sola?,Nickoog Clk,,
Chile,7,2023-06-17,Ultra Solo Remix,"Feid, De La Ghetto, Paloma Mami, Polima Westcoast & Pailita",CL,
Chile,8,2023-06-17,Donde?,Jere Klein,,
Chile,9,2023-06-17,Ram,Jere Klein,,
Chile,10,2023-06-17,Ibiza,"Balbi El Chamako, El Baice & Jere Klein",CL,
Chile,11,2023-06-17,Sheraton,El Jordan 23,,Urbano latino
Chile,12,2023-06-17,2 Hielos,King Savagge,,
Chile,13,2023-06-17,Madrid,Juanka El Problematik & Jairo Vera,PR,
Chile,14,2023-06-17,Pegate,Standly,,Latino
Chile,15,2023-06-17,Me Veo Rico,Gino Mella & Lucky Brown,,
Chile,16,2023-06-17,34 Amor Y Mafia Remix,El Jincho & Harry Nach,,
Chile,17,2023-06-17,Roll Royce,Standly,,
Chile,18,2023-06-17,Bailando,El Jordan 23,,
Chile,19,2023-06-17,Ropa Cara,El Jordan 23 & Pailita,,Urbano latino
Chile,20,2023-06-17,El Amor De Tu Vida,Gino Mella & Jairo Vera,,
Chile,1,2023-05-20,Marisola,Cris MJ,,
Chile,2,2023-05-20,Mi Buen Amor,Mon Laferte & Enrique Bunbury,ES,
Chile,3,2023-05-20,Tu Falta De Querer,Mon Laferte,MX,Rock y Alternativo
Chile,4,2023-05-20,Xq Tan Sola?,Nickoog Clk,,
Chile,5,2023-05-20,Donde?,Jere Klein,,
Chile,6,2023-05-20,La Inocente,Feir & Mora,,
Chile,7,2023-05-20,Ibiza,"Balbi El Chamako, El Baice & Jere Klein",CL,
Chile,8,2023-05-20,Ultra Solo Remix,"Feid, De La Ghetto, Paloma Mami, Polima Westcoast & Pailita",CL,
Chile,9,2023-05-20,Ram,Jere Klein,,
Chile,10,2023-05-20,Madrid,Juanka El Problematik & Jairo Vera,PR,
Chile,11,2023-05-20,2 Hielos,King Savagge,,
Chile,12,2023-05-20,Sheraton,El Jordan 23,,Urbano latino
Chile,13,2023-05-20,Venga Pa' Aca,Pailita,Santiago,Urbano latino
Chile,14,2023-05-20,Bellakita,El Jordan 23,,Urbano latino
Chile,15,2023-05-20,Los Rockstars,Gabo El Chamaquito & Jere Klein,,
Chile,16,2023-05-20,34 Amor Y Mafia Remix,El Jincho & Harry Nach,,
Chile,17,2023-05-20,Roll Royce,Standly,,
Chile,18,2023-05-20,Bailando,El Jordan 23,,
Chile,19,2023-05-20,Ya No Pienso En Ti,Jere Kelin,,
Chile,20,2023-05-20,Traketo,Jere Klein,,
Chile,1,2023-04-22,Mi Buen Amor,Mon Laferte & Enrique Bunbury,ES,
Chile,2,2023-04-22,Marisola,Cris MJ,,
Chile,3,2023-04-22,Donde?,Jere Klein,,
Chile,4,2023-04-22,Xq Tan Sola?,Nickoog Clk,,
Chile,5,2023-04-22,La Inocente,Feir & Mora,,
Chile,6,2023-04-22,Tu Falta De Querer,Mon Laferte,MX,Rock y Alternativo
Chile,7,2023-04-22,Sheraton,El Jordan 23,,Urbano latino
Chile,8,2023-04-22,Ram,Jere Klein,,
Chile,9,2023-04-22,Los Rockstars,Gabo El Chamaquito & Jere Klein,,
Chile,10,2023-04-22,Venga Pa' Aca,Pailita,Santiago,Urbano latino
Chile,11,2023-04-22,Ultra Solo Remix,"Feid, De La Ghetto, Paloma Mami, Polima Westcoast & Pailita",CL,
Chile,12,2023-04-22,Ibiza,"Balbi El Chamako, El Baice & Jere Klein",CL,
Chile,13,2023-04-22,2 Hielos,King Savagge,,
Chile,14,2023-04-22,Ya No Pienso En Ti,Jere Kelin,,
Chile,15,2023-04-22,Minimo Esfuerzo,Duki & Pablo Chill-e,CL,
Chile,16,2023-04-22,Pegate,Standly,,Latino
Chile,17,2023-04-22,Muneca,Marcianeke & Jere Klein,CL,
Chile,18,2023-04-22,Glocko,Nickoog Clk,,
Chile,19,2023-04-22,Ese Corte,Balbi El Chamako,CL,
Chile,20,2023-04-22,Traketo,Jere Klein,,
Chile,1,2023-03-25,Marisola,Cris MJ,,
Chile,2,2023-03-25,Mi Buen Amor,Mon Laferte & Enrique Bunbury,ES,
Chile,3,2023-03-25,La Inocente,Feir & Mora,,
Chile,4,2023-03-25,Tu Falta De Querer,Mon Laferte,MX,Rock y Alternativo
Chile,5,2023-03-25,Sheraton,El Jordan 23,,Urbano latino
Chile,6,2023-03-25,Ultra Solo Remix,"Feid, De La Ghetto, Paloma Mami, Polima Westcoast & Pailita",CL,
Chile,7,2023-03-25,Los Rockstars,Gabo El Chamaquito & Jere Klein,,
Chile,8,2023-03-25,Muneca,Marcianeke & Jere Klein,CL,
Chile,9,2023-03-25,2 Hielos,King Savagge,,
Chile,10,2023-03-25,Donde?,Jere Klein,,
